LibSize,rho_obs_X_to_Y,rho_obs_Y_to_X,boot_lo_X_to_Y,boot_hi_X_to_Y,boot_lo_Y_to_X,boot_hi_Y_to_X,null_lo_X_to_Y,null_hi_X_to_Y,null_lo_Y_to_X,null_hi_Y_to_X,pval_X_to_Y,pval_Y_to_X
16,0.235334,0.27567549999999996,-0.036199699999999994,0.4046715,0.0216330875,0.4742521124999999,-0.10153742500000001,0.140399575,-0.1661691125,0.1712275625000001,0.0,0.0
22,0.24429949999999998,0.21762600000000004,-0.0453743375,0.4238171624999999,0.02940986250000004,0.5027464125,-0.060985162499999995,0.1015371125,-0.1844543875,0.16030141250000007,0.0,0.0
27,0.2297275,0.22272499999999998,-0.04698356249999999,0.43790360000000006,0.008037925000000008,0.5090083624999999,-0.09989604999999999,0.14211762500000003,-0.2089399625,0.15488541250000007,0.0,0.0
32,0.207179,0.23220000000000002,-0.05813021249999999,0.4422879,0.010534025000000016,0.5108953249999999,-0.09280362499999997,0.15537280000000003,-0.23504750000000002,0.15769802500000002,0.0,0.0
37,0.22038649999999999,0.22588100000000005,-0.05951825,0.452581875,-0.003750099999999995,0.5164060749999999,-0.12961425000000001,0.17148736250000002,-0.2600124125,0.16175458750000002,0.0,0.0
42,0.20251000000000002,0.199406,-0.0691898375,0.45237988749999997,-0.001346112499999995,0.5227688625,-0.12797925,0.15143286250000002,-0.3213647625,0.17364330000000003,0.0,0.0
48,0.185152,0.1522575,-0.07437783749999999,0.4490754624999999,-0.0221461375,0.5230572249999998,-0.14317438749999997,0.19735842500000003,-0.30173271249999994,0.16092986250000002,0.1,0.1
53,0.21748999999999996,0.17892199999999997,-0.08405576249999996,0.45665387500000004,-0.050363049999999986,0.5249742125,-0.14213625,0.17403877500000003,-0.3325603,0.17475538750000003,0.0,0.1
58,0.195411,0.18341400000000002,-0.0869479,0.45544532499999996,-0.06060358749999997,0.5339919249999998,-0.1410924,0.1802175,-0.34686812499999997,0.17332018750000003,0.0,0.1
63,0.19311450000000002,0.126784,-0.10337194999999998,0.45701603749999997,-0.107698225,0.5327291,-0.1717015625,0.18841223750000005,-0.38414155000000005,0.18925971250000007,0.1,0.1
69,0.188128,0.13306700000000002,-0.1010745,0.45604059999999996,-0.1115809,0.5388978000000001,-0.1817068,0.20619210000000004,-0.3994111250000001,0.17351123750000008,0.1,0.1
74,0.18483849999999996,0.102353,-0.12595272500000002,0.45882105000000006,-0.1356085,0.540512775,-0.1841502875,0.20651527500000003,-0.42169988750000004,0.16372051250000005,0.1,0.1
